enter_time,complete_time
1609946082617240,1609946116049159
1609946082617281,1609946116112129
1609946082617324,1609946116175551
1609946082617366,1609946116238793
1609946082617409,1609946116301942
1609946082617453,1609946116365053
1609946082617498,1609946116428355
1609946082617541,1609946116491615
1609946082617585,1609946116554606
1609946082617627,1609946116617906
1609946082617670,1609946116681115
1609946082617710,1609946116744550
1609946082617751,1609946116808125
1609946082617798,1609946116904720
1609946082617840,1609946116967885
1609946082617881,1609946117030800
1609946082617927,1609946117093827
1609946082617969,1609946117157077
1609946082618009,1609946117220290
1609946082618053,1609946117283532
1609946082618100,1609946117346768
1609946082618142,1609946117409859
1609946082618189,1609946117472952
1609946082618230,1609946117535974
1609946082618273,1609946117599031
1609946082618314,1609946117662087
1609946082618357,1609946117725159
1609946082618401,1609946117788324
1609946082618444,1609946117851414
1609946082618484,1609946117914736
1609946082618527,1609946117978121
1609946082618567,1609946118041302
1609946082618607,1609946118104473
1609946082618654,1609946118167644
1609946082618698,1609946118230680
1609946082618740,1609946118293808
1609946082618783,1609946118356855
1609946082618823,1609946118420008
1609946082618864,1609946118483151
1609946082618907,1609946118546158
1609946082618954,1609946118609629
1609946082618999,1609946118672676
1609946082619040,1609946118735770
1609946082619081,1609946118798946
1609946082619141,1609946118861875
1609946082619196,1609946118925020
1609946082619243,1609946118988206
1609946082619291,1609946119051205
1609946082619333,1609946119114425
1609946082619374,1609946119177578
1609946082619418,1609946119240661
1609946082619460,1609946119303631
1609946082619502,1609946119366808
1609946082619553,1609946119430072
1609946082619596,1609946119492893
1609946082619640,1609946119556030
1609946082619682,1609946119618978
1609946082619723,1609946119682094
1609946082619764,1609946119745035
1609946082619808,1609946119808180
1609946082619855,1609946119871448
1609946082619898,1609946119934385
1609946082619939,1609946119997418
1609946082619979,1609946120060848
1609946082620022,1609946120124198
1609946082620063,1609946120187381
1609946082620110,1609946120250509
1609946082620155,1609946120313806
1609946082620197,1609946120376883
1609946082620237,1609946120440006
1609946082620280,1609946120503136
1609946082620321,1609946120566122
1609946082620366,1609946120629214
1609946082620412,1609946120692519
1609946082620455,1609946120755412
1609946082620498,1609946120818506
1609946082620539,1609946120892177
1609946082620580,1609946120955271
1609946082620624,1609946121018560
1609946082620666,1609946121081718
1609946082620712,1609946121144772
1609946082620756,1609946121208185
1609946082620798,1609946121280152
1609946082620839,1609946121343430
